"vid","hs","ag","ex","co","em","op"
"SELTCAWRS_t151_v2",5.8,5.4,5.6,6.2,6.2,5.6
"SELTCAWRS_t151_v3",5.4,1.6,1.4,1.6,1.4,3.2
"SELTCAWRS_t151_v4",4.8,5.6,5.6,5.2,5,4.4
"SELTCAWRS_t151_v5",5.4,5,5.2,5.8,5,5
"SELTCAWRS_t151_v6",5.4,2.6,2.4,1.4,2.6,2
"SELTCAWRS_t151_v7",5.8,6,5.6,6,5.4,5
"SELTCAWRS_t151_v8",6.2,1.4,1.2,1.4,1.2,2.4
"SELTCAWRS_t152_v1",5,1.8,2.8,1.8,2.2,2.6
"SELTCAWRS_t152_v2",5.2,4.4,4.8,5.6,4.6,5.2
"SELTCAWRS_t152_v3",4.6,2.6,2,2,2,3.6
"SELTCAWRS_t152_v4",5,5.4,4.8,5.2,4.4,4.8
"SELTCAWRS_t152_v5",3.4,3,3.6,3.4,4,3.4
"SELTCAWRS_t152_v6",2.4,3.6,4,4,3.6,4.4
"SELTCAWRS_t152_v7",3.6,5,4.2,5.2,3.2,3.8
"SELTCAWRS_t152_v8",4,2.4,2.4,2.8,3,3.4
"SELTCAWRS_t153_v1",5.4,1.8,2.2,1.6,3,2
"SELTCAWRS_t153_v2",5.2,3.8,5.4,5.8,4.6,5.4
"SELTCAWRS_t153_v3",5.8,2.8,1.2,1.8,1.2,2
"SELTCAWRS_t153_v4",5.6,5.8,5.4,6,5.4,5.2
"SELTCAWRS_t153_v6",5.8,2.8,1.6,1.6,2.8,1.8
"SELTCAWRS_t153_v7",6.2,6,6,6.2,5.8,6
"SELTCAWRS_t153_v8",5.8,2.8,1.2,1.6,1.2,2.4
"SELTCAWRS_t155_v1",5.2,1.8,3.4,1.6,2,1.8
"SELTCAWRS_t155_v2",5.2,4.4,4.4,5.6,5,4.6
"SELTCAWRS_t155_v3",4.8,2.6,2,2,1.8,3.2
"SELTCAWRS_t155_v4",4.2,5.4,4,3.8,3.8,4
"SELTCAWRS_t155_v5",5.6,4.8,5.6,5.8,5,4.8
"SELTCAWRS_t155_v6",5.2,2.4,1.6,1.4,2.4,2.4
"SELTCAWRS_t155_v7",5,4.8,4.2,5.2,4.8,5
"SELTCAWRS_t155_v8",5.4,1.8,2,2,1.8,2.8
"SELTCAWRS_t156_v2",5.2,4.8,5.2,6,5.2,4.4
"SELTCAWRS_t156_v3",4,2.2,1.8,2,2.4,3.8
"SELTCAWRS_t156_v4",5,5.6,4.8,5.8,5.2,4.8
"SELTCAWRS_t156_v5",4.6,4.8,5,5.6,5,3.8
"SELTCAWRS_t156_v6",4.6,2,3.4,2.4,2,2
"SELTCAWRS_t156_v7",5,5.4,5.2,5.6,5,4.8
"SELTCAWRS_t156_v8",4.4,2,1.4,2,1.4,3.4
"SELTCAWRS_t157_v2",5.6,5.4,5.4,6,6,5
"SELTCAWRS_t157_v3",5.4,3.2,1.4,1.8,1.2,2.2
"SELTCAWRS_t157_v4",5.8,5.8,5.8,5.8,6,5.2
"SELTCAWRS_t157_v5",5.6,4.6,5.4,5.6,5.6,5
"SELTCAWRS_t157_v6",5.4,1.8,1.8,1.8,2.6,1.8
"SELTCAWRS_t157_v7",5.8,5.8,6.4,6.2,4.8,5.8
"SELTCAWRS_t157_v8",5.25,3.25,1.5,2.25,1.25,2.5
"SELTCAWRS_t158_v1",4.6,3,2,2,3.2,1.8
"SELTCAWRS_t158_v2",5.6,4.6,5.6,6.4,5.8,5.2
"SELTCAWRS_t158_v3",5.6,1.6,1.4,1.6,2,2.4
"SELTCAWRS_t158_v4",6.2,6.4,6.4,6.4,5.8,5.8
"SELTCAWRS_t158_v5",5.8,5.2,6,6.4,5.6,5.4
"SELTCAWRS_t158_v6",6,1.8,2.8,1.4,2.2,1.4
"SELTCAWRS_t158_v7",4,4.2,4.8,4.8,4.6,4.4
"SELTCAWRS_t158_v8",5.8,2.2,1.4,2,1.2,2.6
"SELTCAWRS_t159_v1",4.4,2.4,3.4,1.4,2.2,1.4
"SELTCAWRS_t159_v2",5.8,4.8,5.6,6.2,5.2,5.4
"SELTCAWRS_t159_v3",6.2,1.6,1.6,1.8,1.6,2
"SELTCAWRS_t159_v4",5.6,6,5.4,5.6,5.2,5.6
"SELTCAWRS_t159_v5",5.75,5.75,5.25,6,4.75,5.75
"SELTCAWRS_t159_v6",5.4,1.8,3.6,1.2,2,1.8
"SELTCAWRS_t159_v7",6,6.2,5.6,6.2,5.4,5.8
"SELTCAWRS_t159_v8",5.8,1.6,1.4,1.6,1.2,2.6
"SELTCAWRS_t16_v1",2.6,2.2,5.2,2.8,3,4.4
"SELTCAWRS_t16_v2",4,3.2,3.6,4.4,4.6,4.4
"SELTCAWRS_t16_v3",4,3,3.6,2.6,2,3
"SELTCAWRS_t16_v4",4.4,5.6,3.6,4.8,5.2,4.8
"SELTCAWRS_t16_v5",3.6,3.6,2.6,4.8,4.8,3.8
"SELTCAWRS_t16_v6",3.6,2.6,4.6,2.8,2.4,3.6
"SELTCAWRS_t16_v7",4.8,5.6,4.6,4.6,4.6,5.4
"SELTCAWRS_t16_v8",4.6,2.8,2.4,2.4,1.8,2.8
"SELTCAWRS_t160_v1",3.4,4.4,4.2,2.4,3.6,3.2
"SELTCAWRS_t160_v2",5.4,4.6,5.6,5.8,5.2,5.6
"SELTCAWRS_t160_v3",5.2,2,2.2,1.6,2.2,2.2
"SELTCAWRS_t160_v4",5.8,5.8,6,6,5.4,5.8
"SELTCAWRS_t160_v5",6,4.8,5.6,6.2,5.8,5.8
"SELTCAWRS_t160_v6",4.6,2.6,2.6,1.6,3.6,2.2
"SELTCAWRS_t160_v7",6,5.8,6.2,6.2,5.4,6.2
"SELTCAWRS_t160_v8",5.4,2.4,1.2,1.6,1.2,2.6
"SELTCAWRS_t161_v1",4.8,3.2,2,2,3.8,2.6
"SELTCAWRS_t161_v2",3.8,4.2,6.4,5.2,5.2,5
"SELTCAWRS_t161_v3",5.2,1.6,1.4,2.4,1.8,2.2
"SELTCAWRS_t161_v4",5.6,6,6.2,6.2,5.2,5.6
"SELTCAWRS_t161_v5",5.8,4.8,6.2,6.4,5.8,6
"SELTCAWRS_t161_v6",5.4,2.8,2,1.6,3,2.2
"SELTCAWRS_t161_v7",5.8,6,6.2,4.8,5.2,6
"SELTCAWRS_t161_v8",6,1.4,1.2,1.6,1.2,1.6
"SELTCAWRS_t162_v1",5.6,2,3.4,1.6,2.6,2.2
"SELTCAWRS_t162_v2",6.2,4.8,6.2,6.2,5.2,5.6
"SELTCAWRS_t162_v3",5.8,1.8,1.2,1.4,1.8,2.2
"SELTCAWRS_t162_v4",6.6,6.8,5.8,6.6,6.2,5.8
"SELTCAWRS_t162_v5",5.8,5,6.8,6.2,5.8,5.8
"SELTCAWRS_t162_v6",6.2,1.4,2,1.4,1.4,1.2
"SELTCAWRS_t162_v7",6.4,6.2,6,6.6,5.8,6.2
"SELTCAWRS_t162_v8",6.6,1.2,1.2,1.2,1.2,1.2
"SELTCAWRS_t163_v2",5.2,5.4,5,5.8,5,5.4
"SELTCAWRS_t163_v3",5,2.6,3.8,3.6,3.8,3.6
"SELTCAWRS_t163_v4",5.4,5.8,4.8,5.8,4.8,5.6
"SELTCAWRS_t163_v5",5.6,5,5,5.6,4.8,5.2
"SELTCAWRS_t163_v6",5.6,1.4,2.6,1.6,1.8,2.2
"SELTCAWRS_t163_v7",5.4,5.6,4.6,6,5.2,5
"SELTCAWRS_t163_v8",5.8,1.2,2.2,1.8,2.2,2.2
"SELTCAWRS_t165_v1",5.6,1.8,2.2,1.6,2.4,1.8
"SELTCAWRS_t165_v2",5.8,5,6,6.2,5.4,5.2
"SELTCAWRS_t165_v3",6,1.6,1.4,1.8,1.4,2.4
"SELTCAWRS_t165_v4",5.8,6,5.8,6,5.2,5.4
"SELTCAWRS_t165_v5",5.8,5.2,5.8,6.2,5.4,5.6
"SELTCAWRS_t165_v6",4.8,2.8,2.2,1.6,3.2,2.2
"SELTCAWRS_t165_v7",5.6,5.8,6,6,5,5.8
"SELTCAWRS_t165_v8",5.4,2.2,1.4,1.8,1.4,2
"SELTCAWRS_t166_v1",6,1.6,2.8,1.4,1.4,1.8
"SELTCAWRS_t166_v2",6.2,5.2,6.2,6.4,5.6,6.2
"SELTCAWRS_t166_v3",5.8,1.4,1.2,1.6,1.8,2.2
"SELTCAWRS_t166_v4",6.6,6.6,6,6.6,6,6.2
"SELTCAWRS_t166_v5",6.2,5.6,6,6.4,5.8,6
"SELTCAWRS_t166_v6",4.8,1.8,3.8,1.8,2.8,1.6
"SELTCAWRS_t166_v7",6.4,6.4,6.4,6.4,5.8,6.2
"SELTCAWRS_t166_v8",6.2,1.4,1.2,1.6,1.8,1.8
"SELTCAWRS_t167_v1",5,2.4,3,2.4,2,2.4
"SELTCAWRS_t167_v2",5.6,5.2,5.8,5.8,5.2,5.4
"SELTCAWRS_t167_v3",5.2,1.8,1.8,2.4,2,2.4
"SELTCAWRS_t167_v4",5.4,5.8,5.4,5.4,5.4,4.8
"SELTCAWRS_t167_v5",5.4,4.6,5.4,5.4,5,5
"SELTCAWRS_t167_v6",4.8,2.6,3,2,2.6,2.2
"SELTCAWRS_t167_v7",5.8,6,5.8,5.8,5.4,5.8
"SELTCAWRS_t167_v8",4.6,2.6,1.8,2.2,1.8,3.6
"SELTCAWRS_t169_v2",6.4,5.8,6.2,6.4,6.2,6
"SELTCAWRS_t169_v3",6.4,1.4,1.2,1.2,1.2,1.6
"SELTCAWRS_t169_v4",6.6,6.6,6.4,6.6,6.4,6.2
"SELTCAWRS_t169_v5",6.4,5.6,6.4,6.6,6,6
"SELTCAWRS_t169_v6",6.4,1.2,2,1.2,1.8,1.2
"SELTCAWRS_t169_v7",6.6,6.6,6,6.6,6.6,6.4
"SELTCAWRS_t169_v8",6.6,1.2,1.2,1.2,1.2,1.2
"SELTCAWRS_t17_v2",6.6,3.6,6.6,6.8,5.4,5.4
"SELTCAWRS_t17_v3",6.8,1.6,1,1,1,2
"SELTCAWRS_t17_v4",6.6,6.6,6,6.6,6.6,6
"SELTCAWRS_t17_v5",6.2,5.4,5.6,6.4,6.4,4.8
"SELTCAWRS_t17_v6",6.8,1.2,1.8,1.2,1.2,1.4
"SELTCAWRS_t17_v7",6.6,6.6,6.2,6.8,6.8,6.2
"SELTCAWRS_t17_v8",6.8,1.2,1.2,1.2,1.2,1.2
"SELTCAWRS_t170_v1",5.2,1.6,2.8,1.6,2.6,2.6
"SELTCAWRS_t170_v4",6,6,5.4,6,5.6,5.8
"SELTCAWRS_t170_v6",5.4,2.4,3.2,1.8,3.2,2.6
"SELTCAWRS_t170_v7",6.4,6.2,6.2,6.2,6.2,6.2
"SELTCAWRS_t171_v1",4.2,3,3.8,2.2,3.4,2.6
"SELTCAWRS_t171_v2",5.4,5,5.2,5.6,5.6,5.4
"SELTCAWRS_t171_v3",4.6,2.4,2,2.6,2.6,2.6
"SELTCAWRS_t171_v4",5.4,6,5.4,6,5.4,4.8
"SELTCAWRS_t171_v5",4.8,4.6,4.4,5.4,5.4,4.4
"SELTCAWRS_t171_v6",4.8,2.4,4.8,2.2,2.4,2.4
"SELTCAWRS_t171_v7",5.6,6,5.4,6,5.4,5.6
"SELTCAWRS_t171_v8",5.6,2.4,1.8,2,1.8,2.4
"SELTCAWRS_t172_v1",5.4,1.6,4,1.8,2.4,2
"SELTCAWRS_t172_v2",5.4,4.4,5.2,6,5,5.2
"SELTCAWRS_t172_v3",5,2.8,2.6,1.6,2,3
"SELTCAWRS_t172_v4",5.8,6,5.4,6,5,5.4
"SELTCAWRS_t172_v5",5.2,4.8,4.6,5.6,5,4.8
"SELTCAWRS_t172_v6",5.6,2.2,3.4,1.8,2.6,2
"SELTCAWRS_t172_v7",5.8,5.8,6,5.8,5.2,5.4
"SELTCAWRS_t172_v8",5.6,2.2,2,1.4,1.8,3.2
"SELTCAWRS_t173_v2",4.2,3.6,5,5,4.2,4.2
"SELTCAWRS_t173_v7",4.6,5.4,5.8,4.8,5,4.6
"SELTCAWRS_t174_v1",3.2,2.4,5,2.8,3.4,4
"SELTCAWRS_t174_v2",4,4.2,4.2,4.6,5.8,4
"SELTCAWRS_t174_v3",3.6,3,2.8,3,2.4,3.8
"SELTCAWRS_t174_v4",4.6,5.6,5,4.4,5.4,4.8
"SELTCAWRS_t174_v5",4.2,4.4,3.6,4.8,5.4,4.4
"SELTCAWRS_t174_v6",4.2,3.4,4.6,2,2.4,3.2
"SELTCAWRS_t174_v7",3.8,4.4,5.6,4.6,4.8,5.4
"SELTCAWRS_t174_v8",4,2.2,1.4,2.8,1.2,3.6
"SELTCAWRS_t175_v1",5.2,1.8,2.4,1.6,2.2,2.2
"SELTCAWRS_t175_v2",5.8,5,6,6,5.4,5.8
"SELTCAWRS_t175_v3",6.2,1.6,1.8,1.8,1.8,1.6
"SELTCAWRS_t175_v4",6,6.2,5.6,5.8,5.8,6
"SELTCAWRS_t175_v5",6.2,5.6,5.6,6.2,5.8,5.6
"SELTCAWRS_t175_v6",6.6,1.4,1.2,1.2,2,1.2
"SELTCAWRS_t175_v7",6.4,6.4,6,6.6,5.6,6
"SELTCAWRS_t175_v8",6.5,1,1,1,1,1.5
"SELTCAWRS_t177_v1",5.4,1.4,2.8,1.4,1.6,1.4
"SELTCAWRS_t177_v2",6,6,5.8,6.2,6,5.8
"SELTCAWRS_t177_v3",6.4,1.4,1.2,1.6,1.2,1.8
"SELTCAWRS_t177_v4",5.8,6.2,5.8,6.2,5.4,5.6
"SELTCAWRS_t177_v5",5.8,5.4,5.6,6,5.6,5.8
"SELTCAWRS_t177_v6",6,1.8,2.2,1.2,2.2,1.2
"SELTCAWRS_t177_v7",6.4,6.4,6.4,6.6,6.6,6.2
"SELTCAWRS_t177_v8",6.2,1.2,1.2,1.6,1.2,1.8
"SELTCAWRS_t178_v1",5.6,1.8,2.2,1.8,1.6,2.2
"SELTCAWRS_t178_v2",5.8,5.4,6,6,5.8,5.8
"SELTCAWRS_t178_v3",6,1.8,1.6,1.8,1.6,2
"SELTCAWRS_t178_v4",6,6,5.2,6,5.8,5.8
"SELTCAWRS_t178_v5",6,5,6,6,5.4,6
"SELTCAWRS_t178_v6",5.8,1.4,1.6,1.4,2,1.4
"SELTCAWRS_t178_v7",6.4,6.2,6.4,6.4,5.6,6.4
"SELTCAWRS_t178_v8",5.8,1.6,1.4,1.6,1.4,2.8
"SELTCAWRS_t180_v1",4.25,2.75,2.5,2,2.75,2.75
"SELTCAWRS_t180_v2",5.5,5,5.75,6,5.25,5
"SELTCAWRS_t180_v3",5.75,1.75,2,2,2,2.25
"SELTCAWRS_t180_v4",5,4.25,3.75,4.25,3.5,4.25
"SELTCAWRS_t180_v5",5,5,5,5.75,5.25,5.25
"SELTCAWRS_t180_v6",4.5,2.75,2.75,2.5,2.75,3
"SELTCAWRS_t180_v7",5.25,5.75,5.25,5.5,5.25,5.25
"SELTCAWRS_t180_v8",5.5,2.25,1.75,2.5,1.75,3.25
"SELTCAWRS_t181_v1",5,2.5,2.75,1.5,2.5,1.75
"SELTCAWRS_t181_v2",4.75,4.5,5.25,5.75,4.75,5.25
"SELTCAWRS_t181_v3",4.5,2.25,2,2.25,1.75,3
"SELTCAWRS_t181_v4",5.25,5.75,5.5,5.75,4.5,5.25
"SELTCAWRS_t181_v5",5,4.5,5.5,5.25,4.75,5.25
"SELTCAWRS_t181_v6",5.5,2.5,2.25,1.75,2.25,1.75
"SELTCAWRS_t181_v7",5,5,5.25,5.25,4.25,4.75
"SELTCAWRS_t181_v8",4.75,2.75,2.25,2.25,3.5,2.75
"SELTCAWRS_t182_v1",4.75,2.25,3.25,2,2.75,2.25
"SELTCAWRS_t182_v2",4,3.5,5.5,4.25,4,4.5
"SELTCAWRS_t182_v4",5,5.33333333333333,6,5.66666666666667,5.66666666666667,4.66666666666667
"SELTCAWRS_t182_v5",5.25,3.75,6,5.75,4.75,5
"SELTCAWRS_t182_v6",5,2.25,1.75,2.25,3.25,2.25
"SELTCAWRS_t182_v7",5,4.75,5.75,5.75,4.5,5.25
"SELTCAWRS_t182_v8",5,3,1,2.33333333333333,1,2.66666666666667
"SELTCAWRS_t183_v1",5.5,1.75,2.25,1.5,1.75,1.5
"SELTCAWRS_t183_v2",5.5,4.75,6,6,5.5,5.5
"SELTCAWRS_t183_v3",5.75,2.25,2.25,1.75,2.25,2
"SELTCAWRS_t183_v4",6,6,5.5,6,5.5,5.5
"SELTCAWRS_t183_v5",5.25,5,6,6,5.5,5
"SELTCAWRS_t183_v6",6,1.75,2.5,1.5,2.25,1.5
"SELTCAWRS_t183_v7",6,6,5.5,6,5.25,5.75
"SELTCAWRS_t183_v8",6.25,2.25,1.5,1.5,1.25,1.75
"SELTCAWRS_t184_v1",7,1,1,1,1,1
"SELTCAWRS_t184_v2",6.6,5.8,6.4,6.6,5.8,5.8
"SELTCAWRS_t184_v3",6.2,1.4,1.2,1.4,1.2,2.2
"SELTCAWRS_t184_v4",6.4,6.6,6.4,6.6,6.4,6.6
"SELTCAWRS_t184_v5",6.8,6,6.8,6.6,6,6.6
"SELTCAWRS_t184_v6",6.6,1.4,1.2,1.2,1.4,1.4
"SELTCAWRS_t184_v7",6.8,6.8,6.8,6.8,6.6,6.8
"SELTCAWRS_t184_v8",7,1.2,1,1,1,1.2
"SELTCAWRS_t185_v1",4.5,2,4,2.25,1.75,3.5
"SELTCAWRS_t185_v2",5,5,5,5.6,5,4.6
"SELTCAWRS_t185_v3",5.2,1.8,2.2,2,2.2,3.2
"SELTCAWRS_t185_v4",5.4,5.6,5.4,5.4,5.2,5.4
"SELTCAWRS_t185_v5",5.6,5.4,4.6,5.4,6.2,4.4
"SELTCAWRS_t185_v6",5.4,1.2,2.6,1.8,1.6,2.8
"SELTCAWRS_t185_v7",5.6,6.2,5.4,6,6,5.4
"SELTCAWRS_t185_v8",6,1.8,2,1.8,1.8,2
"SELTCAWRS_t189_v1",5.5,1.75,3,1.75,1.5,2.25
"SELTCAWRS_t189_v2",5.4,4.8,4.8,5.8,5.2,5.2
"SELTCAWRS_t189_v3",5.6,1.8,1.8,1.8,1.8,2.4
"SELTCAWRS_t189_v4",5.6,5.4,5,5,5.6,5.2
"SELTCAWRS_t189_v5",5,4.8,4.8,5.6,5,4.4
"SELTCAWRS_t189_v6",4.4,1.8,3.8,1.8,2.4,3.4
"SELTCAWRS_t189_v7",5,5.6,4.6,5,5,4.8
"SELTCAWRS_t189_v8",5.4,1.8,1.8,2.2,2.2,2.6
"SELTCAWRS_t19_v1",5.2,1.4,3.6,2,1.4,3
"SELTCAWRS_t19_v2",4.6,4.4,3.6,5.8,6,4.2
"SELTCAWRS_t19_v3",4.6,1.8,2.2,2.2,1.4,3
"SELTCAWRS_t19_v4",4.4,4.8,3.6,5,6.2,4.6
"SELTCAWRS_t19_v5",4.6,5.2,3.4,5,6.2,4.6
"SELTCAWRS_t19_v6",5.2,1.6,3,2,1.2,3
"SELTCAWRS_t19_v7",4,5,3.75,4,6,5
"SELTCAWRS_t19_v8",4.4,2.2,2.2,2,1.4,2.8
"SELTCAWRS_t190_v1",5.5,1,2.5,1,1.25,2.25
"SELTCAWRS_t190_v2",5.8,5.2,6,6.4,5.2,5.6
"SELTCAWRS_t190_v3",6.4,1.2,1.2,1.2,1.2,1.2
"SELTCAWRS_t190_v4",6.25,6.25,6,6.25,6.25,6.25
"SELTCAWRS_t190_v5",6,5.6,5.8,6,6,5.6
"SELTCAWRS_t190_v6",6.4,1,1.6,1,1,1.2
"SELTCAWRS_t190_v7",6.2,6.2,5.8,6.4,6.4,6.4
"SELTCAWRS_t190_v8",6.4,1.2,1,1.2,1,1.6
"SELTCAWRS_t191_v3",4,3.4,2.4,1.8,2.6,3.4
"SELTCAWRS_t191_v4",3,4,3.4,3.4,2.8,2.2
"SELTCAWRS_t191_v5",3.2,2.2,3.2,3.8,3.8,2.8
"SELTCAWRS_t191_v6",3.4,3.8,4.6,1.8,3.6,4
"SELTCAWRS_t191_v7",3.4,4.8,2.8,3.6,3.4,3.4
"SELTCAWRS_t191_v8",3.6,4.4,3.4,2.2,2,4.6
"SELTCAWRS_t193_v1",5.5,1.5,2.25,1.75,1.5,1.75
"SELTCAWRS_t193_v2",5.4,5.4,5.8,5.8,5.8,5.2
"SELTCAWRS_t193_v3",6,1.8,1.6,1.8,1.6,2.6
"SELTCAWRS_t193_v4",6,6,5.6,6.2,6,5.8
"SELTCAWRS_t193_v5",5.8,5.4,5.2,6,5.8,5.2
"SELTCAWRS_t193_v6",6,1.6,2.4,1.6,1.6,1.6
"SELTCAWRS_t193_v7",6.2,6.2,5.8,6.2,6,6
"SELTCAWRS_t193_v8",6,1.6,1.6,1.6,1.6,2
"SELTCAWRS_t194_v1",5.5,1.5,3,1.5,1.5,2
"SELTCAWRS_t194_v2",5.6,5.2,5.4,6,5.6,5.2
"SELTCAWRS_t194_v3",5.6,1.6,1.6,1.8,1.6,2.2
"SELTCAWRS_t194_v4",5.8,6,5,5.8,6,5.2
"SELTCAWRS_t194_v5",5.6,5.4,4.8,5.8,5.8,5.6
"SELTCAWRS_t194_v6",5.4,1.6,3.4,1.8,1.6,2.4
"SELTCAWRS_t194_v7",5.8,6,5.2,5.8,5.8,5.6
"SELTCAWRS_t194_v8",5.8,1.6,1.6,1.8,1.6,2.4
"SELTCAWRS_t195_v2",5.2,4.4,5,5.8,4.6,4.6
"SELTCAWRS_t195_v3",5,2.2,1.6,2,1.8,3.2
"SELTCAWRS_t195_v4",5.4,5.4,5.4,5.6,5,5
"SELTCAWRS_t195_v5",5,4,5.2,5.4,4.6,5.2
"SELTCAWRS_t195_v6",4.4,4,1.8,2.4,4.2,2.6
"SELTCAWRS_t195_v7",5.8,5.8,5.8,6,4.2,5.6
"SELTCAWRS_t195_v8",4.4,3,1.6,3,1.8,3.4
"SELTCAWRS_t196_v1",4,2.8,4,2,3.2,3
"SELTCAWRS_t196_v2",4.8,4.6,4.2,5.4,4.6,4.6
"SELTCAWRS_t196_v3",5.2,2.4,1.8,2,2.2,1.8
"SELTCAWRS_t196_v4",5.2,5.6,5.2,5.8,5.2,5.2
"SELTCAWRS_t196_v5",5.4,5.4,5.2,6,5.2,5
"SELTCAWRS_t196_v6",5.2,2.2,2.6,1.6,2.2,1.8
"SELTCAWRS_t196_v7",5,5.6,5.8,5.4,4.8,5.2
"SELTCAWRS_t196_v8",5.8,1.8,1.6,1.6,2,1.8
"SELTCAWRS_t197_v1",5.8,1.4,1.8,1.6,1.6,2
"SELTCAWRS_t197_v2",6,5,6.2,6.2,5.4,6
"SELTCAWRS_t197_v3",6,1.2,1.2,1.4,1.4,1.8
"SELTCAWRS_t197_v4",5.75,5.75,6,5,6.25,5.75
"SELTCAWRS_t197_v5",6,5.4,6,6.2,5.4,5.6
"SELTCAWRS_t197_v6",6,1.2,2.2,1.2,1.4,1.6
"SELTCAWRS_t197_v7",6,6.2,6.4,5.8,6.2,6.2
"SELTCAWRS_t197_v8",6.2,1.4,1.4,1.8,1.6,1.8
"SELTCAWRS_t198_v1",5.8,1.4,2,1.4,1.4,1.6
"SELTCAWRS_t198_v2",6.2,5.2,6,6.2,6,5.8
"SELTCAWRS_t198_v3",5.6,1.4,1.8,1.6,1.6,2.6
"SELTCAWRS_t198_v4",6.2,6.2,5.8,6.2,6.4,6
"SELTCAWRS_t198_v5",6.2,5.8,5.8,6.2,5.8,5.8
"SELTCAWRS_t198_v6",6.2,1.2,1.4,1.2,1.6,1.2
"SELTCAWRS_t198_v7",6.4,6.2,5.8,6.4,6.2,6.4
"SELTCAWRS_t198_v8",6,1.4,1.4,1.4,1.2,2
"SELTCAWRS_t2_v1",2.2,3.8,4.8,4.2,3.6,5.8
"SELTCAWRS_t2_v2",1.4,2.8,2.8,2.4,4.8,1.6
"SELTCAWRS_t2_v3",1.8,3.6,3,5.6,3.4,5
"SELTCAWRS_t2_v4",1.4,3.2,1.4,1.2,4,2.4
"SELTCAWRS_t2_v5",2.2,2.4,1.8,2.4,4.4,3
"SELTCAWRS_t2_v6",2.4,3.4,5.2,3.6,3,5.4
"SELTCAWRS_t2_v7",1.4,2.2,1.4,1.4,3.4,1.8
"SELTCAWRS_t2_v8",2,4,1.6,4.4,2.4,4.6
"SELTCAWRS_t20_v1",5.2,1.8,2.6,1.6,2,1.8
"SELTCAWRS_t20_v2",5.8,5.2,5.4,6.2,5.4,6
"SELTCAWRS_t20_v3",4.2,3.6,2,2.4,2.2,3.2
"SELTCAWRS_t20_v4",5.6,5.8,5.6,6,5.6,6.4
"SELTCAWRS_t20_v5",5,5,4.4,5.8,5.4,5.2
"SELTCAWRS_t20_v6",4.8,1.8,2.8,2.8,2,2.8
"SELTCAWRS_t20_v7",6,5.8,6,6.2,5.6,6
"SELTCAWRS_t20_v8",5.8,2,2.4,1.6,1.8,2
"SELTCAWRS_t200_v1",5,1.25,3,2.25,1.5,2.5
"SELTCAWRS_t200_v2",5.2,5,4.6,5.8,5.6,5.2
"SELTCAWRS_t200_v3",5.6,1.4,1.4,1.8,1.4,2.4
"SELTCAWRS_t200_v4",5.8,6,5.6,5.8,6,5.8
"SELTCAWRS_t200_v5",5.4,5,5.6,5.8,5.2,5.6
"SELTCAWRS_t200_v6",4.8,2,2.8,1.8,2.2,1.8
"SELTCAWRS_t200_v7",6.2,5.8,5.4,6.2,5.8,6.2
"SELTCAWRS_t200_v8",5,2,1.4,2.2,1.6,3.8
"SELTCAWRS_t201_v1",5.4,2,2.2,1.8,2,1.8
"SELTCAWRS_t201_v2",4.2,4,5.4,4.8,4.4,4.2
"SELTCAWRS_t201_v3",4.8,3.6,1.8,2.2,3.2,2.8
"SELTCAWRS_t201_v4",5.2,5.8,5.4,6,4.8,5.6
"SELTCAWRS_t201_v5",5.2,4,4.6,6,4.8,5.8
"SELTCAWRS_t201_v6",4.2,3.4,1.6,2,3.2,2.2
"SELTCAWRS_t201_v7",5.2,5.8,5.4,6,5,5.6
"SELTCAWRS_t201_v8",4.4,3.2,3,2,2.8,3
"SELTCAWRS_t202_v1",5.6,2,2,2,1.8,2.2
"SELTCAWRS_t202_v2",5.2,4.8,5.6,5.6,5.2,5.2
"SELTCAWRS_t202_v3",6,2.2,1.8,1.8,1.8,1.8
"SELTCAWRS_t202_v4",6,6.2,5.8,6.4,5.8,6
"SELTCAWRS_t202_v5",6,5.4,6,6,6,5.8
"SELTCAWRS_t202_v6",6,1.8,2,1.6,1.8,2
"SELTCAWRS_t202_v7",5.6,5.6,5,5.8,5.4,5.4
"SELTCAWRS_t202_v8",5.8,2.6,1.6,1.8,1.6,2.6
"SELTCAWRS_t203_v1",3.6,3.8,2.4,2.4,3.4,3.8
"SELTCAWRS_t203_v2",4,3.6,5.4,5.4,4,4
"SELTCAWRS_t203_v3",5.4,2.4,1.8,1.8,1.8,2
"SELTCAWRS_t203_v4",4.8,5.4,5.8,5.6,4.8,4.8
"SELTCAWRS_t203_v5",4.2,4,4.6,5.4,4.4,4.6
"SELTCAWRS_t203_v6",5,2.4,3,1.8,2.2,2
"SELTCAWRS_t203_v7",5.6,5.8,6,6,5.2,6
"SELTCAWRS_t203_v8",5.4,2.4,1.6,1.8,1.8,1.8
"SELTCAWRS_t204_v1",5.75,2,2.75,1.75,2,2.5
"SELTCAWRS_t204_v2",6,5.2,5.8,6.2,5.4,6
"SELTCAWRS_t204_v3",6.2,1.6,1.6,1.6,1.6,1.8
"SELTCAWRS_t204_v4",6.2,6.2,6,6.2,6,6.2
"SELTCAWRS_t204_v5",6.2,6,6.2,6.4,6.2,6.2
"SELTCAWRS_t204_v6",6.2,1.2,1.2,1.2,1.4,1.2
"SELTCAWRS_t204_v7",6.4,6.4,6.2,6.4,6.2,6.4
